Word,Meaning
ko,không
t,tao
k,không
e,em
đc,được
r,rồi
ng,người
v,vậy
c,chị
a,anh
vn,Việt Nam
tr,trời
z,vậy
dc,được
m,mày
vs,với
iu,yêu
cx,cũng
j,gì
oi,ơi
vl,PROFANITY_STRONG
hh,cười
ck,chồng
bt,biết
b,bạn
cj,chị
mn,mọi_người
co,có
kh,không
h,giờ
trc,trước
la,là
s,sao
🍑,mông
vk,vợ
ah,à
vc,PROFANITY_STRONG
ae,anh_em 
bth,bình_thường
tq,Trung Quốc
nc,nước
gd,gia_đình
gđ,gia_đình
kkk,cười
hp,hạnh_phúc
de,dễ
na9,nam_chính
ntn,như_thế_nào
thg,thằng
nx,nữa
vch,PROFANITY_STRONG
vcl,PROFANITY_STRONG
lm,làm
nhg,nhưng
mk,mình
dv,diễn_viên
l,PROFANITY_STRONG
đt,điện_thoại
in4,info
chx,chưa
bh,bây_giờ
dthw,dễ_thương
khg,không
pttm,phẫu_thuật_thẩm_mỹ
kkkk,cười
hk,không
thk,thằng
vd,video
nu9,nữ_chính
cs,có
lmj,làm_gì
kk,cười
tht,thật
hn,Hà Nội
lq,liên_quan
hb,học_bổng
vkl,PROFANITY_STRONG
ph,phải
đm,PROFANITY_PARENT
nv,nhân_vật
hok,không
khum,không
mik,mình
tao,tao
cug,cũng
thic,thích
wa,quá
